date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2018-09-29,12:30 (04:30),Premier League,Matchweek 7,Sat,Away,L,1,3,West Ham,0.7,1.4,52,"56,938",Ashley Young,5-3-2,Michael Oliver,Match Report,
2018-10-02,20:00 (12:00),Champions Lg,Group stage,Tue,Home,D,0,0,es Valencia,0.9,0.4,52,"73,569",Antonio Valencia,4-3-3,Slavko Vinčič,Match Report,
2018-10-06,17:30 (09:30),Premier League,Matchweek 8,Sat,Home,W,3,2,Newcastle Utd,1.9,1.6,72,"74,519",Ashley Young,4-3-3,Anthony Taylor,Match Report,
2018-10-20,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,D,2,2,Chelsea,0.8,1.8,38,"40,721",Ashley Young,4-2-3-1,Mike Dean,Match Report,
2018-10-23,20:00 (12:00),Champions Lg,Group stage,Tue,Home,L,0,1,it Juventus,0.3,1.3,40,"73,946",Ashley Young,4-2-3-1,Danilo Grujić,Match Report,
2018-10-28,16:00 (09:00),Premier League,Matchweek 10,Sun,Home,W,2,1,Everton,2.3,1.8,54,"74,525",Ashley Young,4-3-3,Jonathan Moss,Match Report,
2018-11-03,12:30 (05:30),Premier League,Matchweek 11,Sat,Away,W,2,1,Bournemouth,3.0,1.6,51,"10,792",Ashley Young,4-3-3,Paul Tierney,Match Report,
2018-11-07,21:00 (13:00),Champions Lg,Group stage,Wed,Away,W,2,1,it Juventus,0.8,1.9,45,"41,470",Ashley Young,4-3-3,Ovidiu Hațegan,Match Report,
2018-11-11,16:30 (09:30),Premier League,Matchweek 12,Sun,Away,L,1,3,Manchester City,1.1,1.9,35,"54,316",Ashley Young,4-3-3,Anthony Taylor,Match Report,
2018-11-24,15:00 (08:00),Premier League,Matchweek 13,Sat,Home,D,0,0,Crystal Palace,0.9,1.2,59,"74,516",Ashley Young,4-3-3,Lee Mason,Match Report,
2018-11-27,20:00 (13:00),Champions Lg,Group stage,Tue,Home,W,1,0,ch Young Boys,1.3,0.6,66,"72,876",Antonio Valencia,4-2-3-1,Felix Brych,Match Report,
2018-12-01,17:30 (10:30),Premier League,Matchweek 14,Sat,Away,D,2,2,Southampton,1.1,0.7,60,"30,187",Ashley Young,5-3-2,Kevin Friend,Match Report,
2018-12-05,20:00 (13:00),Premier League,Matchweek 15,Wed,Home,D,2,2,Arsenal,1.1,1.1,45,"74,507",Chris Smalling,3-4-1-2,Andre Marriner,Match Report,
2018-12-08,15:00 (08:00),Premier League,Matchweek 16,Sat,Home,W,4,1,Fulham,2.3,1.2,62,"74,523",Ashley Young,4-2-3-1,Lee Probert,Match Report,
2018-12-12,21:00 (13:00),Champions Lg,Group stage,Wed,Away,L,1,2,es Valencia,1.8,1.4,54,"36,544",Antonio Valencia,4-3-3,Georgi Kabakov,Match Report,
2018-12-16,16:00 (09:00),Premier League,Matchweek 17,Sun,Away,L,1,3,Liverpool,0.7,2.5,36,"52,908",Ashley Young,4-4-1-1,Martin Atkinson,Match Report,
2018-12-22,17:30 (10:30),Premier League,Matchweek 18,Sat,Away,W,5,1,Cardiff City,2.8,1.4,73,"33,028",Ashley Young,4-3-3,Michael Oliver,Match Report,
2018-12-26,15:00 (08:00),Premier League,Matchweek 19,Wed,Home,W,3,1,Huddersfield,1.5,1.1,64,"74,523",David de Gea,4-2-3-1,Jonathan Moss,Match Report,
2018-12-30,16:30 (09:30),Premier League,Matchweek 20,Sun,Home,W,4,1,Bournemouth,2.9,0.5,65,"74,556",Ashley Young,4-2-3-1,Lee Mason,Match Report,
2019-01-02,20:00 (13:00),Premier League,Matchweek 21,Wed,Away,W,2,0,Newcastle Utd,2.6,0.7,64,"52,217",Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,
2019-01-05,12:30 (05:30),FA Cup,Third round,Sat,Home,W,2,0,Reading,,,41,"73,918",Ashley Young,4-3-3,Stuart Attwell,Match Report,
2019-01-13,16:30 (09:30),Premier League,Matchweek 22,Sun,Away,W,1,0,Tottenham,0.8,1.8,39,"80,062",Ashley Young,4-1-2-1-2◆,Mike Dean,Match Report,
,,,,,,,,,,,,,,,,,,
2019-01-19,15:00 (08:00),Premier League,Matchweek 23,Sat,Home,W,2,1,Brighton,2.4,0.8,56,"74,532",Ashley Young,4-3-3,Paul Tierney,Match Report,
2019-01-25,19:55 (12:55),FA Cup,Fourth round,Fri,Away,W,3,1,Arsenal,,,37,"59,571",Ashley Young,4-3-1-2,Craig Pawson,Match Report,
2019-01-29,20:00 (13:00),Premier League,Matchweek 24,Tue,Home,D,2,2,Burnley,3.1,0.8,73,"74,529",Ashley Young,4-1-4-1,Jonathan Moss,Match Report,
2019-02-03,14:05 (07:05),Premier League,Matchweek 25,Sun,Away,W,1,0,Leicester City,1.3,1.5,55,"32,148",Ashley Young,4-2-2-2,Mike Dean,Match Report,
2019-02-09,12:30 (05:30),Premier League,Matchweek 26,Sat,Away,W,3,0,Fulham,1.9,2.2,49,"25,001",David de Gea,4-3-3,Paul Tierney,Match Report,
2019-02-12,20:00 (13:00),Champions Lg,Round of 16,Tue,Home,L,0,2,fr Paris S-G,0.4,2.5,45,"74,054",Ashley Young,4-3-3,Daniele Orsato,Match Report,Leg 1 of 2
2019-02-18,19:30 (12:30),FA Cup,Fifth round,Mon,Away,W,2,0,Chelsea,,,33,"40,562",Ashley Young,4-3-1-2,Kevin Friend,Match Report,
2019-02-24,14:05 (07:05),Premier League,Matchweek 27,Sun,Home,D,0,0,Liverpool,0.3,0.5,36,"74,519",Ashley Young,4-3-1-2,Michael Oliver,Match Report,
2019-02-27,20:00 (13:00),Premier League,Matchweek 28,Wed,Away,W,3,1,Crystal Palace,1.0,1.7,54,"25,754",Ashley Young,4-3-3,Martin Atkinson,Match Report,
2019-03-02,15:00 (08:00),Premier League,Matchweek 29,Sat,Home,W,3,2,Southampton,2.2,0.4,64,"74,459",Ashley Young,4-3-1-2,Stuart Attwell,Match Report,
2019-03-06,21:00 (13:00),Champions Lg,Round of 16,Wed,Away,W,3,1,fr Paris S-G,2.1,1.4,29,"47,441",Ashley Young,4-4-2,Damir Skomina,Match Report,Leg 2 of 2; Manchester Utd won
2019-03-10,16:30 (09:30),Premier League,Matchweek 30,Sun,Away,L,0,2,Arsenal,2.3,1.7,54,"60,000",Ashley Young,4-4-2,Jonathan Moss,Match Report,
2019-03-16,19:55 (12:55),FA Cup,Quarter-finals,Sat,Away,L,1,2,Wolves,,,61,"31,004",Paul Pogba,4-3-1-2,Martin Atkinson,Match Report,
2019-03-30,15:00 (08:00),Premier League,Matchweek 32,Sat,Home,W,2,1,Watford,1.6,1.5,52,"74,543",Ashley Young,4-3-1-2,Stuart Attwell,Match Report,
2019-04-02,19:45 (11:45),Premier League,Matchweek 33,Tue,Away,L,1,2,Wolves,1.8,1.8,51,"31,302",Ashley Young,3-5-1-1,Mike Dean,Match Report,
2019-04-10,20:00 (12:00),Champions Lg,Quarter-finals,Wed,Home,L,0,1,es Barcelona,0.5,1.1,34,"74,093",Ashley Young,3-5-2,Gianluca Rocchi,Match Report,Leg 1 of 2
2019-04-13,17:30 (09:30),Premier League,Matchweek 34,Sat,Home,W,2,1,West Ham,2.5,1.4,43,"74,478",David de Gea,4-2-3-1,Graham Scott,Match Report,
2019-04-16,21:00 (12:00),Champions Lg,Quarter-finals,Tue,Away,L,0,3,es Barcelona,0.4,1.4,35,"96,708",Ashley Young,4-3-1-2,Felix Brych,Match Report,Leg 2 of 2; Barcelona won
2019-04-21,13:30 (05:30),Premier League,Matchweek 35,Sun,Away,L,0,4,Everton,0.3,1.6,52,"39,395",David de Gea,4-3-3,Paul Tierney,Match Report,
2019-04-24,20:00 (12:00),Premier League,Matchweek 31,Wed,Home,L,0,2,Manchester City,0.5,0.5,37,"74,431",Ashley Young,5-3-2,Andre Marriner,Match Report,
2019-04-28,16:30 (08:30),Premier League,Matchweek 36,Sun,Home,D,1,1,Chelsea,1.1,1.7,52,"74,526",Ashley Young,4-3-1-2,Martin Atkinson,Match Report,
2019-05-05,14:00 (06:00),Premier League,Matchweek 37,Sun,Away,D,1,1,Huddersfield,1.8,1.0,64,"24,263",Ashley Young,4-3-1-2,Lee Mason,Match Report,
2019-05-12,15:00 (07:00),Premier League,Matchweek 38,Sun,Home,L,0,2,Cardiff City,1.5,1.6,73,"74,457",Ashley Young,4-3-1-2,Jonathan Moss,Match Report,
2019-08-11,16:30 (08:30),Premier League,Matchweek 1,Sun,Home,W,4,0,Chelsea,2.2,1.0,46,"73,620",David de Gea,4-2-3-1,Anthony Taylor,Match Report,
2019-08-19,20:00 (12:00),Premier League,Matchweek 2,Mon,Away,D,1,1,Wolves,1.2,0.3,65,"31,314",David de Gea,4-2-3-1,Jonathan Moss,Match Report,
2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Crystal Palace,2.5,1.1,71,"73,454",David de Gea,4-2-3-1,Paul Tierney,Match Report,
2019-08-31,12:30 (04:30),Premier League,Matchweek 4,Sat,Away,D,1,1,Southampton,1.5,0.9,59,"30,499",Ashley Young,4-2-3-1,Mike Dean,Match Report,
2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,1,0,Leicester City,1.2,0.6,42,"73,689",Ashley Young,4-2-3-1,Martin Atkinson,Match Report,
2019-09-19,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,1,0,kz Astana FK,2.8,0.3,73,"50,783",Nemanja Matić,4-2-3-1,François Letexier,Match Report,
2019-09-22,14:00 (06:00),Premier League,Matchweek 6,Sun,Away,L,0,2,West Ham,0.9,0.4,53,"59,936",Ashley Young,4-2-3-1,Anthony Taylor,Match Report,
2019-09-25,20:00 (12:00),EFL Cup,Third round,Wed,Home,D,1 (5),1 (3),Rochdale,,,65,"58,313",Axel Tuanzebe,4-2-3-1,John Brooks,Match Report,Manchester Utd won on penalty kicks following extra time
2019-09-30,20:00 (12:00),Premier League,Matchweek 7,Mon,Home,D,1,1,Arsenal,0.9,1.9,55,"73,201",Ashley Young,4-2-3-1,Kevin Friend,Match Report,
2019-10-03,18:55 (09:55),Europa Lg,Group stage,Thu,Away,D,0,0,nl AZ Alkmaar,0.7,1.0,48,"13,863",David de Gea,4-2-3-1,Gediminas Mažeika,Match Report,
2019-10-06,16:30 (08:30),Premier League,Matchweek 8,Sun,Away,L,0,1,Newcastle Utd,0.9,0.8,68,"51,198",Ashley Young,4-2-3-1,Mike Dean,Match Report,
2019-10-20,16:30 (08:30),Premier League,Matchweek 9,Sun,Home,D,1,1,Liverpool,0.7,1.2,34,"73,737",Ashley Young,3-4-1-2,Martin Atkinson,Match Report,
2019-10-24,18:55 (09:55),Europa Lg,Group stage,Thu,Away,W,1,0,rs Partizan,1.4,0.6,59,"25,627",Harry Maguire,3-4-3,Javier Estrada,Match Report,
