date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2019-12-01,14:00 (07:00),Premier League,Matchweek 14,Sun,Away,D,1,1,Wolves,1.5,1.3,41,"31,642",Oliver Norwood,3-5-2,David Coote,Match Report,
2019-12-05,19:30 (12:30),Premier League,Matchweek 15,Thu,Home,L,0,2,Newcastle Utd,1.1,0.5,73,"30,409",Billy Sharp,3-5-2,Stuart Attwell,Match Report,
2019-12-08,14:00 (07:00),Premier League,Matchweek 16,Sun,Away,W,2,1,Norwich City,0.8,0.7,42,"26,881",Oliver Norwood,3-5-2,Simon Hooper,Match Report,
2019-12-14,15:00 (08:00),Premier League,Matchweek 17,Sat,Home,W,2,0,Aston Villa,1.7,1.1,56,"30,396",Oliver Norwood,3-5-2,Peter Bankes,Match Report,
2019-12-21,15:00 (08:00),Premier League,Matchweek 18,Sat,Away,W,1,0,Brighton,1.3,0.5,31,"30,505",Oliver Norwood,3-5-2,Robert Jones,Match Report,
2019-12-26,15:00 (08:00),Premier League,Matchweek 19,Thu,Home,D,1,1,Watford,2.4,0.6,58,"30,222",Oliver Norwood,3-5-2,David Coote,Match Report,
2019-12-29,18:00 (11:00),Premier League,Matchweek 20,Sun,Away,L,0,2,Manchester City,1.1,1.1,28,"54,512",Oliver Norwood,3-5-2,Chris Kavanagh,Match Report,
2020-01-02,20:00 (13:00),Premier League,Matchweek 21,Thu,Away,L,0,2,Liverpool,0.6,2.8,26,"53,321",Oliver Norwood,3-5-2,Paul Tierney,Match Report,
2020-01-05,14:01 (07:01),FA Cup,Third round,Sun,Home,W,2,1,Fylde,,,66,"11,133",Leon Clarke,3-5-2,Jarred Gillett,Match Report,
2020-01-10,20:00 (13:00),Premier League,Matchweek 22,Fri,Home,W,1,0,West Ham,1.4,0.7,47,"30,124",Oliver Norwood,3-5-2,Michael Oliver,Match Report,
2020-01-18,15:00 (08:00),Premier League,Matchweek 23,Sat,Away,D,1,1,Arsenal,0.8,1.4,39,"60,310",Oliver Norwood,3-5-2,Mike Dean,Match Report,
2020-01-21,19:30 (12:30),Premier League,Matchweek 24,Tue,Home,L,0,1,Manchester City,0.8,2.8,34,"31,285",Billy Sharp,3-5-2,Lee Mason,Match Report,
2020-01-25,15:00 (08:00),FA Cup,Fourth round,Sat,Away,W,2,0,Millwall,,,54,"12,653",Billy Sharp,3-5-2,Anthony Taylor,Match Report,
2020-02-01,15:00 (08:00),Premier League,Matchweek 25,Sat,Away,W,1,0,Crystal Palace,0.7,0.8,39,"25,170",Billy Sharp,3-5-2,Andy Madley,Match Report,
2020-02-09,14:00 (07:00),Premier League,Matchweek 26,Sun,Home,W,2,1,Bournemouth,1.9,1.4,55,"30,361",Billy Sharp,3-5-2,Jonathan Moss,Match Report,
,,,,,,,,,,,,,,,,,,
2020-02-22,15:00 (08:00),Premier League,Matchweek 27,Sat,Home,D,1,1,Brighton,1.6,1.2,65,"31,888",Billy Sharp,3-5-2,Graham Scott,Match Report,
2020-03-03,20:00 (13:00),FA Cup,Fifth round,Tue,Away,W,2,1,Reading,,,54,"15,129",John Egan,3-5-2,Kevin Friend,Match Report,Required Extra Time
2020-03-07,15:00 (08:00),Premier League,Matchweek 29,Sat,Home,W,1,0,Norwich City,0.9,2.4,42,"31,379",Billy Sharp,3-5-2,Simon Hooper,Match Report,
2020-06-17,18:00 (10:00),Premier League,Matchweek 28,Wed,Away,D,0,0,Aston Villa,0.3,1.4,54,,Billy Sharp,3-5-2,Michael Oliver,Match Report,
2020-06-21,14:00 (06:00),Premier League,Matchweek 30,Sun,Away,L,0,3,Newcastle Utd,0.6,2.0,54,,Billy Sharp,3-5-2,David Coote,Match Report,
2020-06-24,18:00 (10:00),Premier League,Matchweek 31,Wed,Away,L,0,3,Manchester Utd,0.1,2.4,32,,Oliver Norwood,3-5-2,Anthony Taylor,Match Report,
2020-06-28,13:00 (05:00),FA Cup,Quarter-finals,Sun,Home,L,1,2,Arsenal,,,41,,Oliver Norwood,3-5-2,Paul Tierney,Match Report,
2020-07-02,18:00 (10:00),Premier League,Matchweek 32,Thu,Home,W,3,1,Tottenham,1.6,1.1,33,,Oliver Norwood,3-5-2,Chris Kavanagh,Match Report,
2020-07-05,12:00 (04:00),Premier League,Matchweek 33,Sun,Away,D,1,1,Burnley,1.1,1.3,52,,Oliver Norwood,3-5-2,Peter Bankes,Match Report,
2020-07-08,18:00 (10:00),Premier League,Matchweek 34,Wed,Home,W,1,0,Wolves,0.5,0.4,44,,Billy Sharp,3-5-2,Martin Atkinson,Match Report,
2020-07-11,17:30 (09:30),Premier League,Matchweek 35,Sat,Home,W,3,0,Chelsea,2.3,1.2,24,,Oliver Norwood,3-5-2,Andre Marriner,Match Report,
2020-07-16,18:00 (10:00),Premier League,Matchweek 36,Thu,Away,L,0,2,Leicester City,0.7,2.6,46,,Oliver Norwood,3-5-2,Michael Oliver,Match Report,
2020-07-20,18:00 (10:00),Premier League,Matchweek 37,Mon,Home,L,0,1,Everton,0.5,0.4,51,,Oliver Norwood,3-5-2,Stuart Attwell,Match Report,
2020-07-26,16:00 (08:00),Premier League,Matchweek 38,Sun,Away,L,1,3,Southampton,1.4,1.7,28,,Billy Sharp,3-5-2,Peter Bankes,Match Report,
2020-09-14,18:00 (10:00),Premier League,Matchweek 1,Mon,Home,L,0,2,Wolves,1.0,1.4,55,,Billy Sharp,3-5-2,Mike Dean,Match Report,
2020-09-17,17:30 (09:30),EFL Cup,Second round,Thu,Away,D,1 (4),1 (5),Burnley,,,45,,Oliver Norwood,3-5-2,Paul Tierney,Match Report,Burnley won on penalty kicks following extra time
2020-09-21,18:00 (10:00),Premier League,Matchweek 2,Mon,Away,L,0,1,Aston Villa,0.9,1.0,29,,John Egan,3-5-2,Graham Scott,Match Report,
2020-09-27,12:00 (04:00),Premier League,Matchweek 3,Sun,Home,L,0,1,Leeds United,1.4,1.2,36,,David McGoldrick,3-5-2,Paul Tierney,Match Report,
2020-10-04,14:00 (06:00),Premier League,Matchweek 4,Sun,Away,L,1,2,Arsenal,0.2,0.6,36,,John Egan,3-5-2,Lee Mason,Match Report,
2020-10-18,12:00 (04:00),Premier League,Matchweek 5,Sun,Home,D,1,1,Fulham,1.7,1.5,42,,John Egan,3-5-2,Andre Marriner,Match Report,
2020-10-24,20:00 (12:00),Premier League,Matchweek 6,Sat,Away,L,1,2,Liverpool,1.6,2.3,38,,John Egan,3-5-2,Mike Dean,Match Report,
2020-10-31,12:30 (05:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,0.5,1.6,35,,John Egan,5-3-2,Michael Oliver,Match Report,
2020-11-07,17:30 (10:30),Premier League,Matchweek 8,Sat,Away,L,1,4,Chelsea,0.4,2.2,31,,John Egan,3-5-2,Jonathan Moss,Match Report,
2020-11-22,14:00 (07:00),Premier League,Matchweek 9,Sun,Home,L,0,1,West Ham,0.9,2.1,51,,John Egan,3-5-2,Martin Atkinson,Match Report,
2020-11-28,20:00 (13:00),Premier League,Matchweek 10,Sat,Away,L,0,1,West Brom,2.9,1.2,51,,John Egan,3-5-2,Mike Dean,Match Report,
2020-12-06,14:15 (07:15),Premier League,Matchweek 11,Sun,Home,L,1,2,Leicester City,0.2,1.4,31,,John Egan,5-3-2,Stuart Attwell,Match Report,
