date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2020-02-29,15:00 (08:00),Championship,Matchweek 36,Sat,Away,D,2,2,Blackburn,1.4,2.1,45,"13,099",Matt Grimes,4-2-3-1,Peter Bankes,Match Report,
2020-03-07,15:00 (08:00),Championship,Matchweek 37,Sat,Home,D,0,0,West Brom,0.9,0.6,36,"16,788",Matt Grimes,4-2-3-1,Robert Jones,Match Report,
2020-06-20,12:30 (04:30),Championship,Matchweek 38,Sat,Away,W,3,0,Middlesbrough,3.6,1.0,45,,Matt Grimes,4-2-3-1,Tony Harrington,Match Report,
2020-06-27,12:30 (04:30),Championship,Matchweek 39,Sat,Home,L,0,1,Luton Town,0.9,1.1,62,,Matt Grimes,4-2-3-1,Andy Woolmer,Match Report,
2020-06-30,17:00 (09:00),Championship,Matchweek 40,Tue,Away,D,1,1,Millwall,0.9,1.7,57,,Matt Grimes,4-2-3-1,James Linington,Match Report,
2020-07-05,12:00 (04:00),Championship,Matchweek 41,Sun,Home,W,2,1,Sheffield Weds,1.8,1.8,52,,Matt Grimes,3-4-1-2,Steve Martin,Match Report,
2020-07-08,18:00 (10:00),Championship,Matchweek 42,Wed,Away,W,3,1,Birmingham City,1.1,1.6,60,,Matt Grimes,3-4-3,Jarred Gillett,Match Report,
2020-07-12,13:30 (05:30),Championship,Matchweek 43,Sun,Home,L,0,1,Leeds United,0.3,1.1,43,,Matt Grimes,3-4-1-2,Keith Stroud,Match Report,
2020-07-15,18:00 (10:00),Championship,Matchweek 44,Wed,Away,D,2,2,Nott'ham Forest,1.2,0.4,48,,Matt Grimes,3-4-1-2,Oliver Langford,Match Report,
2020-07-18,15:00 (07:00),Championship,Matchweek 45,Sat,Home,W,1,0,Bristol City,1.6,1.8,43,,Matt Grimes,3-4-1-2,Darren Bond,Match Report,
2020-07-22,19:30 (11:30),Championship,Matchweek 46,Wed,Away,W,4,1,Reading,2.7,1.9,64,,Matt Grimes,3-4-1-2,Steve Martin,Match Report,
