date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2022-09-17,12:30 (04:30),Premier League,Matchweek 8,Sat,Away,W,3,0,Wolves,1.1,0.4,59,"31,578",Kevin De Bruyne,4-3-3,Anthony Taylor,Match Report,
2022-10-02,14:00 (06:00),Premier League,Matchweek 9,Sun,Home,W,6,3,Manchester Utd,3.2,1.7,53,"53,475",İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,
2022-10-05,20:00 (12:00),Champions Lg,Group stage,Wed,Home,W,5,0,dk FC Copenhagen,4.3,0.4,75,"51,765",İlkay Gündoğan,4-4-2,Donatas Rumšas,Match Report,
2022-10-08,15:00 (07:00),Premier League,Matchweek 10,Sat,Home,W,4,0,Southampton,2.4,0.2,65,"53,365",Kevin De Bruyne,4-2-3-1,Andy Madley,Match Report,
2022-10-11,18:45 (09:45),Champions Lg,Group stage,Tue,Away,D,0,0,dk FC Copenhagen,1.6,0.3,59,"35,447",İlkay Gündoğan,4-2-3-1,Artur Dias,Match Report,
2022-10-16,16:30 (08:30),Premier League,Matchweek 11,Sun,Away,L,0,1,Liverpool,1.0,2.1,63,"53,286",İlkay Gündoğan,3-4-3,Anthony Taylor,Match Report,
2022-10-22,15:00 (07:00),Premier League,Matchweek 13,Sat,Home,W,3,1,Brighton,1.6,0.5,48,"53,223",Kevin De Bruyne,4-3-3,Craig Pawson,Match Report,
2022-10-25,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,0,0,de Dortmund,1.2,1.2,73,"81,000",İlkay Gündoğan,4-4-2,Davide Massa,Match Report,
2022-10-29,12:30 (04:30),Premier League,Matchweek 14,Sat,Away,W,1,0,Leicester City,1.0,0.7,64,"32,223",İlkay Gündoğan,4-3-3,Robert Jones,Match Report,
2022-11-02,20:00 (13:00),Champions Lg,Group stage,Wed,Home,W,3,1,es Sevilla,2.0,0.4,61,"51,610",İlkay Gündoğan,4-3-3,Orel Grinfeeld,Match Report,
2022-11-05,15:00 (08:00),Premier League,Matchweek 15,Sat,Home,W,2,1,Fulham,2.1,1.0,70,"52,395",İlkay Gündoğan,4-3-3,Darren England,Match Report,
2022-11-09,20:00 (13:00),EFL Cup,Third round,Wed,Home,W,2,0,Chelsea,,,55,"35,674",İlkay Gündoğan,4-2-3-1,Simon Hooper,Match Report,
2022-11-12,12:30 (05:30),Premier League,Matchweek 16,Sat,Home,L,1,2,Brentford,1.6,1.3,74,"52,786",İlkay Gündoğan,4-3-3,Peter Bankes,Match Report,
2022-12-22,20:00 (13:00),EFL Cup,Fourth round,Thu,Home,W,3,2,Liverpool,,,57,"47,149",İlkay Gündoğan,4-3-3,David Coote,Match Report,
2022-12-28,20:00 (13:00),Premier League,Matchweek 17,Wed,Away,W,3,1,Leeds United,4.3,0.6,69,"36,889",İlkay Gündoğan,4-3-3,Stuart Attwell,Match Report,
2022-12-31,15:00 (08:00),Premier League,Matchweek 18,Sat,Home,D,1,1,Everton,1.7,0.1,74,"53,444",Kevin De Bruyne,4-3-3,Andy Madley,Match Report,
2023-01-05,20:00 (13:00),Premier League,Matchweek 19,Thu,Away,W,1,0,Chelsea,2.0,0.4,52,"39,998",İlkay Gündoğan,3-2-4-1,Paul Tierney,Match Report,
2023-01-08,16:30 (09:30),FA Cup,Third round proper,Sun,Home,W,4,0,Chelsea,,,58,"51,505",Kyle Walker,4-3-3,Robert Jones,Match Report,
2023-01-11,20:00 (13:00),EFL Cup,Quarter-finals,Wed,Away,L,0,2,Southampton,,,72,"22,996",İlkay Gündoğan,4-3-3,Peter Bankes,Match Report,
2023-01-14,12:30 (05:30),Premier League,Matchweek 20,Sat,Away,L,1,2,Manchester Utd,0.6,1.7,70,"75,546",Kevin De Bruyne,4-3-3,Stuart Attwell,Match Report,
2023-01-19,20:00 (13:00),Premier League,Matchweek 7,Thu,Home,W,4,2,Tottenham,2.3,0.8,58,"53,088",İlkay Gündoğan,4-2-3-1,Simon Hooper,Match Report,
,,,,,,,,,,,,,,,,,,
2023-01-22,14:00 (07:00),Premier League,Matchweek 21,Sun,Home,W,3,0,Wolves,2.8,0.8,55,"53,282",İlkay Gündoğan,3-2-4-1,David Coote,Match Report,
