date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2019-10-19,12:30 (04:30),Premier League,Matchweek 9,Sat,Away,L,0,2,Everton,0.8,2.1,49,"39,263",Mark Noble,4-1-4-1,Paul Tierney,Match Report,
2019-10-26,15:00 (07:00),Premier League,Matchweek 10,Sat,Home,D,1,1,Sheffield Utd,2.3,1.0,60,"59,878",Mark Noble,4-1-4-1,David Coote,Match Report,
2019-11-02,15:00 (08:00),Premier League,Matchweek 11,Sat,Home,L,2,3,Newcastle Utd,1.8,1.5,70,"59,907",Mark Noble,4-1-4-1,Stuart Attwell,Match Report,
2019-11-09,15:00 (08:00),Premier League,Matchweek 12,Sat,Away,L,0,3,Burnley,0.5,2.1,59,"20,255",Mark Noble,4-4-1-1,Kevin Friend,Match Report,
2019-11-23,12:30 (05:30),Premier League,Matchweek 13,Sat,Home,L,2,3,Tottenham,0.7,2.1,48,"59,930",Mark Noble,4-4-1-1,Michael Oliver,Match Report,
2019-11-30,15:00 (08:00),Premier League,Matchweek 14,Sat,Away,W,1,0,Chelsea,0.9,2.3,34,"40,595",Mark Noble,4-4-1-1,Jonathan Moss,Match Report,
2019-12-04,19:30 (12:30),Premier League,Matchweek 15,Wed,Away,L,0,2,Wolves,0.6,1.5,50,"31,217",Mark Noble,4-4-1-1,Andre Marriner,Match Report,
2019-12-09,20:00 (13:00),Premier League,Matchweek 16,Mon,Home,L,1,3,Arsenal,0.6,1.4,36,"59,936",Mark Noble,4-4-1-1,Mike Dean,Match Report,
2019-12-14,17:30 (10:30),Premier League,Matchweek 17,Sat,Away,W,1,0,Southampton,0.9,0.9,43,"27,701",Mark Noble,4-4-2,Martin Atkinson,Match Report,
2019-12-26,15:00 (08:00),Premier League,Matchweek 19,Thu,Away,L,1,2,Crystal Palace,0.9,2.7,42,"25,462",Mark Noble,4-4-2,Andre Marriner,Match Report,
2019-12-28,17:30 (10:30),Premier League,Matchweek 20,Sat,Home,L,1,2,Leicester City,1.0,2.5,43,"59,919",Declan Rice,4-2-3-1,David Coote,Match Report,
2020-01-01,17:30 (10:30),Premier League,Matchweek 21,Wed,Home,W,4,0,Bournemouth,2.4,0.6,43,"59,917",Mark Noble,4-4-1-1,Graham Scott,Match Report,
2020-01-05,18:16 (11:16),FA Cup,Third round,Sun,Away,W,2,0,Gillingham,,,67,"10,913",Angelo Ogbonna,3-1-4-2,Andy Madley,Match Report,
