date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2018-01-02,19:45 (12:45),Premier League,Matchweek 22,Tue,Home,L,1,2,Crystal Palace,0.4,1.3,60,"28,411",Maya Yoshida,4-2-3-1,Stuart Attwell,Match Report,
2018-01-06,15:00 (08:00),FA Cup,Third round,Sat,Away,W,1,0,Fulham,,,42,"17,327",Steven Davis,4-2-3-1,Michael Oliver,Match Report,
2018-01-13,15:00 (08:00),Premier League,Matchweek 23,Sat,Away,D,2,2,Watford,0.9,2.0,44,"20,018",Steven Davis,4-2-3-1,Roger East,Match Report,
2018-01-21,16:00 (09:00),Premier League,Matchweek 24,Sun,Home,D,1,1,Tottenham,0.8,1.2,41,"31,361",Ryan Bertrand,4-2-3-1,Kevin Friend,Match Report,
2018-01-27,15:00 (08:00),FA Cup,Fourth round,Sat,Home,W,1,0,Watford,,,49,"25,195",Steven Davis,4-2-3-1,Robert Madley,Match Report,
2018-01-31,19:45 (12:45),Premier League,Matchweek 25,Wed,Home,D,1,1,Brighton,1.4,1.1,66,"30,034",Steven Davis,4-2-3-1,Mike Dean,Match Report,
2018-02-03,15:00 (08:00),Premier League,Matchweek 26,Sat,Away,W,3,2,West Brom,0.9,0.8,61,"25,911",Ryan Bertrand,4-2-3-1,Michael Oliver,Match Report,
2018-02-11,16:30 (09:30),Premier League,Matchweek 27,Sun,Home,L,0,2,Liverpool,0.9,1.9,52,"31,915",Ryan Bertrand,4-2-3-1,Martin Atkinson,Match Report,
,,,,,,,,,,,,,,,,,,
2018-02-17,15:00 (08:00),FA Cup,Fifth round,Sat,Away,W,2,1,West Brom,,,53,"17,600",Ryan Bertrand,4-2-3-1,Chris Kavanagh,Match Report,
2018-02-24,15:00 (08:00),Premier League,Matchweek 28,Sat,Away,D,1,1,Burnley,0.8,1.3,49,"20,982",Ryan Bertrand,4-2-3-1,Robert Madley,Match Report,
2018-03-03,15:00 (08:00),Premier League,Matchweek 29,Sat,Home,D,0,0,Stoke City,0.9,0.8,65,"30,335",Ryan Bertrand,4-2-3-1,Anthony Taylor,Match Report,
2018-03-10,15:00 (08:00),Premier League,Matchweek 30,Sat,Away,L,0,3,Newcastle Utd,0.3,1.3,63,"52,246",Ryan Bertrand,4-2-3-1,Andre Marriner,Match Report,
2018-03-18,13:30 (06:30),FA Cup,Quarter-finals,Sun,Away,W,2,0,Wigan Athletic,,,49,"17,110",Ryan Bertrand,4-4-2,Michael Oliver,Match Report,
2018-03-31,15:00 (07:00),Premier League,Matchweek 32,Sat,Away,L,0,3,West Ham,0.5,1.4,51,"56,882",Ryan Bertrand,4-4-2,Jonathan Moss,Match Report,
2018-04-08,14:15 (06:15),Premier League,Matchweek 33,Sun,Away,L,2,3,Arsenal,2.0,1.6,36,"59,374",Ryan Bertrand,3-4-3,Andre Marriner,Match Report,
2018-04-14,12:30 (04:30),Premier League,Matchweek 34,Sat,Home,L,2,3,Chelsea,1.0,0.8,42,"31,764",Ryan Bertrand,3-4-3,Mike Dean,Match Report,
2018-04-19,19:45 (11:45),Premier League,Matchweek 35,Thu,Away,D,0,0,Leicester City,0.8,0.6,46,"31,160",Ryan Bertrand,3-4-3,Roger East,Match Report,
2018-04-22,15:00 (07:00),FA Cup,Semi-finals,Sun,Away,L,0,2,Chelsea,,,44,"73,416",Ryan Bertrand,3-5-2,Martin Atkinson,Match Report,
2018-04-28,15:00 (07:00),Premier League,Matchweek 36,Sat,Home,W,2,1,Bournemouth,1.5,0.7,40,"31,778",Ryan Bertrand,3-4-3,Anthony Taylor,Match Report,
2018-05-05,17:30 (09:30),Premier League,Matchweek 37,Sat,Away,D,1,1,Everton,0.7,0.5,46,"38,225",Ryan Bertrand,3-4-3,Jonathan Moss,Match Report,
2018-05-08,19:45 (11:45),Premier League,Matchweek 31,Tue,Away,W,1,0,Swansea City,1.2,0.5,46,"20,858",Ryan Bertrand,3-4-3,Michael Oliver,Match Report,
2018-05-13,15:00 (07:00),Premier League,Matchweek 38,Sun,Home,L,0,1,Manchester City,0.5,0.8,31,"31,882",Ryan Bertrand,5-4-1,Andre Marriner,Match Report,
2018-08-12,13:30 (05:30),Premier League,Matchweek 1,Sun,Home,D,0,0,Burnley,1.1,1.4,48,"30,784",Ryan Bertrand,3-4-3,Graham Scott,Match Report,
2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,1,2,Everton,1.7,1.5,43,"38,601",Ryan Bertrand,4-4-2,Lee Mason,Match Report,
2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,0.5,0.6,52,"29,925",Ryan Bertrand,4-4-2,Jonathan Moss,Match Report,
2018-08-28,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,1,0,Brighton,,,52,"13,651",Steven Davis,4-2-3-1,Andre Marriner,Match Report,
2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,W,2,0,Crystal Palace,2.7,2.4,50,"25,495",Ryan Bertrand,4-4-2,Martin Atkinson,Match Report,
2018-09-17,20:00 (12:00),Premier League,Matchweek 5,Mon,Home,D,2,2,Brighton,2.0,1.4,51,"28,811",Ryan Bertrand,4-4-2,Anthony Taylor,Match Report,
2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,L,0,3,Liverpool,0.3,1.7,39,"50,965",Ryan Bertrand,4-1-4-1,Paul Tierney,Match Report,
2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Wolves,0.8,1.6,51,"31,147",Ryan Bertrand,4-4-2,Stuart Attwell,Match Report,
2018-10-02,19:45 (11:45),EFL Cup,Third round,Tue,Away,D,1 (4),1 (3),Everton,,,48,"30,545",Maya Yoshida,3-4-1-2,Chris Kavanagh,Match Report,Everton won on penalty kicks following extra time
2018-10-07,14:15 (06:15),Premier League,Matchweek 8,Sun,Home,L,0,3,Chelsea,1.6,2.9,35,"27,077",Ryan Bertrand,3-4-3,Craig Pawson,Match Report,
2018-10-20,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,D,0,0,Bournemouth,0.5,0.9,42,"10,986",Ryan Bertrand,4-4-2,Lee Probert,Match Report,
2018-10-27,15:00 (07:00),Premier League,Matchweek 10,Sat,Home,D,0,0,Newcastle Utd,1.1,0.4,50,"30,736",Ryan Bertrand,4-4-2,Chris Kavanagh,Match Report,
2018-11-04,15:00 (08:00),Premier League,Matchweek 11,Sun,Away,L,1,6,Manchester City,2.0,2.2,34,"53,916",Ryan Bertrand,4-3-2-1,Lee Mason,Match Report,
2018-11-10,15:00 (08:00),Premier League,Matchweek 12,Sat,Home,D,1,1,Watford,1.1,1.2,42,"28,153",Ryan Bertrand,4-2-3-1,Simon Hooper,Match Report,
2018-11-24,15:00 (08:00),Premier League,Matchweek 13,Sat,Away,L,2,3,Fulham,1.3,1.3,62,"24,603",Pierre Højbjerg,4-2-3-1,Michael Oliver,Match Report,
2018-11-27,19:45 (12:45),EFL Cup,Fourth round,Tue,Away,D,0 (5),0 (6),Leicester City,,,57,"22,150",Pierre Højbjerg,3-5-2,Roger East,Match Report,Leicester City won on penalty kicks following extra time
2018-12-01,17:30 (10:30),Premier League,Matchweek 14,Sat,Home,D,2,2,Manchester Utd,0.7,1.1,40,"30,187",Pierre Højbjerg,3-4-1-2,Kevin Friend,Match Report,
2018-12-05,20:00 (13:00),Premier League,Matchweek 15,Wed,Away,L,1,3,Tottenham,1.7,1.6,48,"33,012",Steven Davis,4-2-3-1,Anthony Taylor,Match Report,
2018-12-08,15:00 (08:00),Premier League,Matchweek 16,Sat,Away,L,0,1,Cardiff City,0.7,1.5,63,"30,067",Pierre Højbjerg,4-3-2-1,Jonathan Moss,Match Report,
2018-12-16,13:30 (06:30),Premier League,Matchweek 17,Sun,Home,W,3,2,Arsenal,1.3,1.9,34,"29,497",Pierre Højbjerg,3-4-3,Chris Kavanagh,Match Report,
2018-12-22,15:00 (08:00),Premier League,Matchweek 18,Sat,Away,W,3,1,Huddersfield,2.5,0.8,38,"22,384",Pierre Højbjerg,3-4-3,Stuart Attwell,Match Report,
2018-12-27,19:45 (12:45),Premier League,Matchweek 19,Thu,Home,L,1,2,West Ham,1.2,1.2,46,"31,654",Oriol Romeu,3-4-3,Craig Pawson,Match Report,
2018-12-30,14:15 (07:15),Premier League,Matchweek 20,Sun,Home,L,1,3,Manchester City,0.2,2.5,24,"31,381",Pierre Højbjerg,4-3-2-1,Paul Tierney,Match Report,
2019-01-02,19:45 (12:45),Premier League,Matchweek 21,Wed,Away,D,0,0,Chelsea,0.2,0.9,29,"40,668",Oriol Romeu,5-4-1,Jonathan Moss,Match Report,
2019-01-05,15:00 (08:00),FA Cup,Third round,Sat,Away,D,2,2,Derby County,,,50,"17,095",James Ward-Prowse,4-4-2,Oliver Langford,Match Report,
2019-01-12,15:00 (08:00),Premier League,Matchweek 22,Sat,Away,W,2,1,Leicester City,1.5,1.7,29,"31,491",Oriol Romeu,3-4-3,Michael Oliver,Match Report,
2019-01-16,19:45 (12:45),FA Cup,Third round,Wed,Home,D,2 (3),2 (5),Derby County,,,47,"14,651",Oriol Romeu,3-4-3,Anthony Taylor,Match Report,Derby County won replayed match on penalty kicks following extra time
2019-01-19,15:00 (08:00),Premier League,Matchweek 23,Sat,Home,W,2,1,Everton,0.7,0.9,39,"29,989",Pierre Højbjerg,3-5-2,Graham Scott,Match Report,
2019-01-30,19:45 (12:45),Premier League,Matchweek 24,Wed,Home,D,1,1,Crystal Palace,1.2,1.1,58,"28,339",Pierre Højbjerg,3-5-2,Andre Marriner,Match Report,
2019-02-02,15:00 (08:00),Premier League,Matchweek 25,Sat,Away,D,1,1,Burnley,0.7,2.4,45,"19,787",Oriol Romeu,3-5-2,Anthony Taylor,Match Report,
,,,,,,,,,,,,,,,,,,
